year,month,temp
2000,1,30.7
2000,2,32.2
2000,3,29.5
2000,4,26.2
2000,5,22.4
2000,6,20
2000,7,18.4
2000,8,18.1
2000,9,21.5
2000,10,24.9
2000,11,27.3
2000,12,31.4
2001,1,31.3
2001,2,31.3
2001,3,30.1
2001,4,27.3
2001,5,21.8
2001,6,20.3
2001,7,19
2001,8,18.8
2001,9,20.1
2001,10,22.6
2001,11,27.9
2001,12,27.6
2002,1,31.8
2002,2,31.7
2002,3,30.1
2002,4,25.4
2002,5,23.5
2002,6,19.5
2002,7,19.1
2002,8,19.2
2002,9,20.5
2002,10,24.8
2002,11,27.8
2002,12,31.4
2003,1,32.1
2003,2,32.1
2003,3,31.2
2003,4,26.2
2003,5,24.2
2003,6,19.5
2003,7,18.2
2003,8,18.7
2003,9,20.2
2003,10,22.8
2003,11,28.4
2003,12,29.6
2004,1,32.4
2004,2,32.9
2004,3,30
2004,4,27.4
2004,5,24.8
2004,6,21
2004,7,18.2
2004,8,17.9
2004,9,20.7
2004,10,23.6
2004,11,26.2
2004,12,31.3
2005,1,32
2005,2,31.4
2005,3,31.2
2005,4,25.2
2005,5,23.6
2005,6,18.2
2005,7,18.8
2005,8,18.8
2005,9,19.5
2005,10,21.1
2005,11,25.6
2005,12,24.7
2006,1,29.9
2006,2,32.2
2006,3,30.9
2006,4,23.8
2006,5,22.9
2006,6,20.3
2006,7,19.1
2006,8,20.6
2006,9,20.9
2006,10,24.7
2006,11,28.1
2006,12,31.5
2007,1,30.4
2007,2,31.4
2007,3,30.9
2007,4,25.7
2007,5,21.2
2007,6,19.9
2007,7,19.7
2007,8,19.3
2007,9,20.4
2007,10,23.2
2007,11,29
2007,12,28.4
2008,1,34
2008,2,32.7
2008,3,30
2008,4,24.3
2008,5,22.7
2008,6,19.7
2008,7,17.9
2008,8,19.4
2008,9,20.5
2008,10,24.1
2008,11,23.9
2008,12,28.6
2009,1,33.6
2009,2,32.5
2009,3,29.5
2009,4,28.1
2009,5,24.3
2009,6,19.1
2009,7,18.6
2009,8,19.1
2009,9,18.7
2009,10,25.2
2009,11,27.4
2009,12,32.7
